"","Latitude","Longitude","X100","NPP"
"140",-75.5,166.5,-1.89,2361.725
"141",-75.5,167.5,-1.882,3257.79
"142",-75.5,168.5,-1.793,3349.95
"143",-75.5,169.5,-1.817,2216.26
"144",-75.5,170.5,-1.843,1116.639
"145",-75.5,171.5,-1.801,1211.47066666667
"146",-75.5,172.5,-1.606,699.1205
"147",-75.5,173.5,-1.6,476.008
"148",-75.5,174.5,-1.547,663.51175
"149",-75.5,175.5,-1.677,784.29275
"150",-75.5,176.5,-1.746,840.6355
"151",-75.5,177.5,-1.627,765.959666666667
"152",-75.5,178.5,-1.527,696.105
"153",-75.5,179.5,-1.349,757.423
"154",-74.5,-179.5,-1.826,245.145
"155",-74.5,-177.5,-1.766,169.786
"156",-74.5,-176.5,-1.386,142.062
"157",-74.5,-175.5,-1.714,151.839
"158",-74.5,-174.5,-1.487,120.751
"159",-74.5,-170.5,-1.8,724.819
"160",-74.5,-169.5,-1.633,704.653
"161",-74.5,-168.5,-1.678,753.186
"162",-74.5,-167.5,-1.744,814.664
"163",-74.5,-166.5,-1.76,873.513
"164",-74.5,-165.5,-1.728,517.0025
"165",-74.5,-164.5,-1.466,591.498
"166",-74.5,-163.5,-1.55,505.729333333333
"167",-74.5,-162.5,-1.801,548.712333333333
"168",-74.5,-161.5,-1.805,625.539666666667
"169",-74.5,-160.5,-1.803,484.907666666667
"170",-74.5,-159.5,-1.751,534.235
"171",-74.5,-158.5,-1.774,405.232
"172",-74.5,-157.5,-1.761,471.8085
"173",-74.5,-156.5,-1.774,399.79
"174",-74.5,-153.5,NA,766.9335
"175",-74.5,-151.5,-1.158,881.994
"176",-74.5,-150.5,-1.423,846.607
"177",-74.5,-148.5,-1.736,877.218666666667
"178",-74.5,-147.5,-1.735,1063.82033333333
"179",-74.5,-145.5,-1.504,1011.72733333333
"180",-74.5,-144.5,-1.822,999.005
"181",-74.5,-143.5,-1.82,1877.33
"182",-74.5,-108.5,-1.359,68.3346
"183",-74.5,-54.5,NA,155.178
"184",-74.5,-52.5,NA,155.178
"185",-74.5,-51.5,-1.893,155.178
"186",-74.5,-50.5,NA,155.178
"187",-74.5,-49.5,-1.882,155.178
"188",-74.5,-48.5,-1.881,155.178
"189",-74.5,-47.5,-1.852,155.178
"190",-74.5,-46.5,-1.829,155.178
"191",-74.5,-45.5,-1.842,155.178
"192",-74.5,-44.5,-1.867,155.178
"193",-74.5,-43.5,-1.846,155.178
"194",-74.5,-42.5,-1.843,155.178
"195",-74.5,-41.5,-1.847,155.178
"196",-74.5,-40.5,-1.848,155.178
"197",-74.5,-39.5,-1.833,155.178
"198",-74.5,-38.5,-1.857,155.178
"199",-74.5,-37.5,-1.862,155.178
"200",-74.5,-36.5,-1.864,155.178
"201",-74.5,-35.5,-1.857,155.178
"202",-74.5,-34.5,-1.864,155.178
"203",-74.5,-33.5,-1.851,155.178
"204",-74.5,-32.5,-1.885,155.178
"205",-74.5,-31.5,-1.887,149.544
"206",-74.5,-30.5,-1.907,123.735
"207",-74.5,-29.5,-1.888,240.5465
"208",-74.5,-28.5,-1.865,245.9645
"209",-74.5,-27.5,-1.893,245.9645
"210",-74.5,-26.5,-1.879,245.9645
"211",-74.5,-25.5,-1.899,245.9645
"212",-74.5,166.5,-1.755,935.525
"213",-74.5,167.5,-1.814,1863.66
"214",-74.5,168.5,-1.709,1888.425
"215",-74.5,169.5,-1.696,1896.15
"216",-74.5,170.5,-1.72,1304.37
"217",-74.5,171.5,-1.801,1150.13433333333
"218",-74.5,172.5,-1.632,646.063666666667
"219",-74.5,173.5,-1.484,433.908
"220",-74.5,174.5,-1.52,300.329
"221",-74.5,175.5,-1.568,234.36875
"222",-74.5,176.5,-1.667,300.392
"223",-74.5,177.5,-1.593,314.07825
"224",-74.5,178.5,-1.743,305.62125
"225",-74.5,179.5,-1.594,285.151333333333
"226",-73.5,-177.5,-1.44,176.946666666667
"227",-73.5,-176.5,-1.455,173.312333333333
"228",-73.5,-175.5,-0.913,166.954666666667
"229",-73.5,-174.5,-1.156,140.055
"230",-73.5,-173.5,-1.529,196.946
"231",-73.5,-172.5,-1.549,486.648
"232",-73.5,-171.5,-1.639,440.784
"233",-73.5,-170.5,-1.71,601.92
"234",-73.5,-169.5,-1.744,383.225
"235",-73.5,-168.5,-1.417,327.201
"236",-73.5,-167.5,-1.441,290.051
"237",-73.5,-166.5,-1.329,161.984
"238",-73.5,-165.5,-1.16,144.512
"239",-73.5,-164.5,-1.367,143.897
"240",-73.5,-163.5,-1.27,145.94
"241",-73.5,-162.5,-1.265,139.008
"242",-73.5,-161.5,-1.207,130.089
"243",-73.5,-160.5,-0.969,130.089
"244",-73.5,-159.5,-1.154,162.191
"245",-73.5,-158.5,-1.22,162.191
"246",-73.5,-157.5,-1.295,165.34
"247",-73.5,-156.5,-1.403,173.063666666667
"248",-73.5,-155.5,-1.51,156.974333333333
"249",-73.5,-154.5,-1.389,292.998
"250",-73.5,-153.5,-1.671,439.824
"251",-73.5,-152.5,-1.565,285.717333333333
"252",-73.5,-151.5,-1.059,203.564
"253",-73.5,-150.5,-1.014,345.095
"254",-73.5,-149.5,-1.315,306.7235
"255",-73.5,-148.5,-1.496,193.268
"256",-73.5,-146.5,-1.353,257.86
"257",-73.5,-145.5,-1.182,497.13
"258",-73.5,-144.5,-0.759,892.057
"259",-73.5,-143.5,-1.624,351.376666666667
"260",-73.5,-142.5,-1.74,458.485666666667
"261",-73.5,-141.5,-0.873,733.229
"262",-73.5,-140.5,-0.333,498.557
"263",-73.5,-134.5,-1.712,415.1195
"264",-73.5,-133.5,-1.741,607.086
"265",-73.5,-132.5,-1.687,445.5905
"266",-73.5,-131.5,-1.649,670.1205
"267",-73.5,-129.5,-1.701,1435.945
"268",-73.5,-128.5,-1.707,377.023
"269",-73.5,-127.5,-1.73,294.89
"270",-73.5,-118.5,-1.686,724.2165
"271",-73.5,-117.5,-1.675,847.40675
"272",-73.5,-116.5,-1.625,710.1858
"273",-73.5,-115.5,-1.665,740.8364
"274",-73.5,-114.5,-1.708,628.2528
"275",-73.5,-113.5,-1.695,636.823
"276",-73.5,-112.5,-1.747,521.4478
"277",-73.5,-111.5,-1.747,617.46775
"278",-73.5,-110.5,-1.759,521.3895
"279",-73.5,-109.5,-1.704,521.3895
"280",-73.5,-108.5,-1.662,521.3895
"281",-73.5,-107.5,-1.71,521.3895
"282",-73.5,-106.5,-1.744,109.819033333333
"283",-73.5,-105.5,-1.778,109.819033333333
"284",-73.5,-104.5,NA,109.819033333333
"285",-73.5,-42.5,-1.859,109.81024
"286",-73.5,-41.5,-1.807,109.81024
"287",-73.5,-40.5,-1.834,109.81024
"288",-73.5,-39.5,-1.815,109.81024
"289",-73.5,-38.5,-1.825,109.81024
"290",-73.5,-37.5,-1.826,109.81024
"291",-73.5,-36.5,-1.88,109.81024
"292",-73.5,-35.5,-1.87,109.81024
"293",-73.5,-34.5,-1.924,109.81024
"294",-73.5,-33.5,-1.931,109.81024
"295",-73.5,-32.5,-1.931,109.81024
"296",-73.5,-31.5,-1.888,109.81024
"297",-73.5,-30.5,-1.904,109.81024
"298",-73.5,-29.5,-1.898,109.81024
"299",-73.5,-28.5,-1.895,109.81024
"300",-73.5,-27.5,-1.895,109.81024
"301",-73.5,-26.5,-1.888,109.81024
"302",-73.5,-25.5,-1.882,109.81024
"303",-73.5,-24.5,-1.785,109.81024
"304",-73.5,-23.5,-1.73,109.81024
"305",-73.5,-22.5,-1.941,109.81024
"306",-73.5,-21.5,-1.892,109.81024
"307",-73.5,170.5,-1.773,243.036333333333
"308",-73.5,171.5,-1.26,240.577333333333
"309",-73.5,172.5,-0.833,219.97075
"310",-73.5,173.5,-1.375,216.48175
"311",-73.5,174.5,-1.546,237.4905
"312",-73.5,175.5,-1.483,251.6335
"313",-73.5,176.5,-1.235,204.823
"314",-73.5,178.5,-1.537,170.454
"315",-73.5,179.5,-1.448,160.80425
"316",-72.5,-179.5,-1.437,162.4015
"317",-72.5,-178.5,-1.355,168.9385
"318",-72.5,-176.5,-1.402,154.154
"319",-72.5,-175.5,-1.094,147.5495
"320",-72.5,-174.5,-1.316,138.82625
"321",-72.5,-173.5,-0.945,145.576
"322",-72.5,-172.5,-0.985,213.275333333333
"323",-72.5,-169.5,-1.395,124.499
"324",-72.5,-168.5,-0.846,127.153
"325",-72.5,-167.5,-0.94,129.987
"326",-72.5,-166.5,-0.845,120.561
"327",-72.5,-165.5,-1.219,120.561
"328",-72.5,-164.5,-1.137,120.561
"329",-72.5,-163.5,-1.356,120.561
"330",-72.5,-162.5,-1.073,120.561
"331",-72.5,-161.5,-1.151,360.97
"332",-72.5,-160.5,-1.164,360.97
"333",-72.5,-159.5,-1.279,360.97
"334",-72.5,-158.5,-1.316,360.97
"335",-72.5,-157.5,-1.29,360.97
"336",-72.5,-156.5,-1.019,379.9895
"337",-72.5,-155.5,-1.211,330.9695
"338",-72.5,-154.5,-1.392,279.1695
"339",-72.5,-153.5,-1.506,230.3165
"340",-72.5,-152.5,-1.559,185.395
"341",-72.5,-151.5,-1.295,186.909
"342",-72.5,-150.5,-1.098,150.527
"343",-72.5,-149.5,-0.992,150.527
"344",-72.5,-147.5,-1.024,150.527
"345",-72.5,-146.5,-1.015,150.527
"346",-72.5,-145.5,-1.171,150.527
"347",-72.5,-144.5,-1.389,150.527
"348",-72.5,-143.5,-0.959,160.473
"349",-72.5,-142.5,-1.077,160.473
"350",-72.5,-141.5,-0.845,160.473
"351",-72.5,-140.5,-0.828,160.473
"352",-72.5,-139.5,-1.199,160.473
"353",-72.5,-138.5,-1.066,160.473
"354",-72.5,-137.5,-1.218,232.836
"355",-72.5,-136.5,-1.604,310.681
"356",-72.5,-134.5,-1.685,824.641
"357",-72.5,-128.5,-1.698,291.856
"358",-72.5,-127.5,-1.682,291.856
"359",-72.5,-126.5,-1.669,291.856
"360",-72.5,-125.5,-1.688,291.856
"361",-72.5,-124.5,-1.766,290.901
"362",-72.5,-123.5,-1.75,458.889
"363",-72.5,-122.5,-1.781,522.954
"364",-72.5,-121.5,-1.638,493.461
"365",-72.5,-120.5,-1.802,660.300333333333
"366",-72.5,-119.5,-1.719,823.374333333333
"367",-72.5,-118.5,-1.747,1488.77
"368",-72.5,-117.5,-1.659,1456.76
"369",-72.5,-116.5,-1.671,2549.65
"370",-72.5,-115.5,-1.562,3308.4
"371",-72.5,-114.5,-1.687,1422.45
"372",-72.5,-113.5,-1.705,1017.72
"373",-72.5,-112.5,-1.731,1017.72
"374",-72.5,-111.5,-1.755,1017.72
"375",-72.5,-110.5,-1.783,1017.72
"376",-72.5,-109.5,-1.757,1017.72
"377",-72.5,-108.5,-1.735,1017.72
"378",-72.5,-107.5,-1.743,1017.72
"379",-72.5,-106.5,-1.755,1017.72
"380",-72.5,-105.5,-1.773,1017.72
"381",-72.5,-104.5,-1.794,1017.72
"382",-72.5,-85.5,-1.464,1017.72
"383",-72.5,-84.5,-1.372,1017.72
"384",-72.5,-83.5,-1.212,1017.72
"385",-72.5,-82.5,-1.397,1017.72
"386",-72.5,-81.5,-1.353,1017.72
"387",-72.5,-80.5,-1.389,1017.72
"388",-72.5,-79.5,NA,1017.72
"389",-72.5,-43.5,-1.858,1017.72
"390",-72.5,-42.5,-1.863,1017.72
"391",-72.5,-41.5,-1.865,1017.72
"392",-72.5,-40.5,-1.818,1017.72
"393",-72.5,-39.5,-1.819,1017.72
"394",-72.5,-38.5,-1.819,1017.72
"395",-72.5,-37.5,-1.792,1017.72
"396",-72.5,-36.5,-1.717,1017.72
"397",-72.5,-35.5,-1.744,1017.72
"398",-72.5,-34.5,-1.822,1017.72
"399",-72.5,-33.5,-1.86,1017.72
"400",-72.5,-32.5,-1.87,1017.72
"401",-72.5,-31.5,-1.855,1017.72
"402",-72.5,-30.5,-1.929,1017.72
"403",-72.5,-29.5,-1.855,1017.72
"404",-72.5,-28.5,-1.835,1017.72
"405",-72.5,-27.5,-1.765,1017.72
"406",-72.5,-26.5,-1.913,1017.72
