"","Latitude","Longitude","X100","NPP","W","K","z_star"
"65",-76.5,-35.5,-1.864,377.048,3.53570800360632,0.0103,343.272621709352
"66",-76.5,-34.5,-1.862,377.048,3.53668967502949,0.0108,327.471266206434
"67",-76.5,-33.5,-1.851,377.048,3.54209374182666,0.0117,302.74305485698
"68",-76.5,-32.5,-1.852,377.048,3.54160212200059,0.0114,310.666852807069
"69",-76.5,-31.5,-1.882,377.048,3.52688521334656,0.0114,309.375895907593
"70",-76.5,164.5,-1.872,1071.844,4.82311094239697,0.0103,468.263198290968
"71",-76.5,165.5,-1.893,1209.01866666667,5.11423134996637,0.012,426.185945830531
"72",-76.5,166.5,-1.885,1860.735,6.85811289361688,0.0114,601.58885031727
"73",-76.5,167.5,-1.862,2134.035,7.77722693140505,0.0117,664.72025054744
"74",-76.5,168.5,-1.837,1408.905,5.63754740746574,0.0106,531.844095043938
"75",-76.5,169.5,-1.851,1187.491,5.09470461893361,0.0105,485.209963707963
"76",-76.5,170.5,-1.833,1341.02266666667,5.47153446248062,0.0117,467.652518160737
"77",-76.5,171.5,-1.809,1046.351,4.81015897592812,0.0118,407.640591180349
"78",-76.5,172.5,-1.838,1062.7825,4.82627220588646,0.011,438.752018716951
"79",-76.5,173.5,-1.781,1192.9395,5.15703378609911,0.0109,473.122365697166
"80",-76.5,174.5,-1.724,967.31175,4.69772948209495,0.0111,423.218872260806
"81",-76.5,175.5,-1.668,984.2735,4.77054057776047,0.0105,454.33719788195
"82",-76.5,176.5,-1.749,974.20525,4.69595245464576,0.0108,434.8104124672
"83",-76.5,177.5,-1.691,1052.72325,4.90358645228544,0.0116,422.722970024607
"84",-76.5,178.5,-1.634,1242.15633333333,5.38081250873949,0.0112,480.429688280311
"85",-76.5,179.5,-1.622,1055.84266666667,4.95770705028655,0.0101,490.862084186787
"86",-75.5,-179.5,-1.593,700.337,4.24407692807043,0.0107,396.642703557984
"87",-75.5,-178.5,-1.894,630.238,3.94443285984447,0.0109,361.874574297658
"88",-75.5,-175.5,-1.7,256.357,3.42652755758718,0.0117,292.86560321258
"89",-75.5,-174.5,-1.648,282.246666666667,3.49165786509361,0.0118,295.903208906238
"90",-75.5,-173.5,-1.745,270.018,3.42611918952323,0.0109,314.322861424149
"91",-75.5,-172.5,-1.769,361.629,3.55794967762759,0.0108,329.439784965517
"92",-75.5,-171.5,-1.823,340.105,3.49745499215999,0.0118,296.394490861016
"93",-75.5,-170.5,-1.804,346.2815,3.51641842934285,0.0101,348.160240528995
"94",-75.5,-169.5,-1.747,391.372,3.61675730248761,0.0119,303.929185082992
