"","df71.POC2000","df71.Longitude","df71.Latitude"
"1",0.860429281984102,-178.5,-77.5
"2",0.614313935396061,-177.5,-77.5
"3",0.583002877757326,-176.5,-77.5
"4",1.2,-175.5,-77.5
"5",1.2,-172.5,-77.5
"6",1.2,-171.5,-77.5
"7",1.2,-170.5,-77.5
"8",1.13017918682303,-169.5,-77.5
"9",0.664739146480553,-168.5,-77.5
"10",1.08616019309309,-167.5,-77.5
"11",1.2,-166.5,-77.5
"12",0.922375812225899,-165.5,-77.5
"13",1.2,-164.5,-77.5
"14",1.2,-163.5,-77.5
"15",1.2,-162.5,-77.5
"16",1.2,-161.5,-77.5
"17",1.2,-160.5,-77.5
"18",0.387470651991435,-159.5,-77.5
"19",0.453671885260376,-44.5,-77.5
"20",0.210986858127222,-43.5,-77.5
"21",0.200398281296505,-42.5,-77.5
"22",0.39976910862146,-41.5,-77.5
"23",0.524349889987078,-40.5,-77.5
"24",0.381262358512379,-39.5,-77.5
"25",0.554701339220424,-38.5,-77.5
"26",0.420969589803331,-37.5,-77.5
"27",0.509057745655247,-36.5,-77.5
"28",0.428849510825557,-35.5,-77.5
"29",0.0520578902291215,165.5,-77.5
"30",1.2,-179.5,-76.5
"31",1.2,-178.5,-76.5
"32",1.2,-177.5,-76.5
"33",1.2,-176.5,-76.5
"34",0.273635593309812,-175.5,-76.5
"35",0.337126161344295,-174.5,-76.5
"36",0.307626669549119,-173.5,-76.5
"37",0.186135012289166,-172.5,-76.5
"38",0.273535197313944,-171.5,-76.5
"39",0.280086998154586,-170.5,-76.5
"40",0.306826011020939,-169.5,-76.5
"41",0.385956275870508,-168.5,-76.5
"42",1.04577262936463,-167.5,-76.5
"43",0.442929412910345,-166.5,-76.5
"44",0.576426474615475,-165.5,-76.5
"45",1.2,-164.5,-76.5
"46",1.2,-163.5,-76.5
"47",1.2,-162.5,-76.5
"48",1.2,-161.5,-76.5
"49",1.2,-160.5,-76.5
"50",1.2,-159.5,-76.5
"51",1.2,-158.5,-76.5
"52",1.2,-157.5,-76.5
"53",1.09383616447387,-156.5,-76.5
"54",0.311916048667934,-155.5,-76.5
"55",0.214608332427296,-45.5,-76.5
"56",0.181076409986077,-44.5,-76.5
"57",0.350495504930242,-43.5,-76.5
"58",0.402621851410779,-42.5,-76.5
"59",0.392099676231344,-41.5,-76.5
"60",0.452330588701913,-40.5,-76.5
"61",0.315398664306052,-39.5,-76.5
"62",0.274137768386315,-38.5,-76.5
"63",0.232647827369169,-37.5,-76.5
"64",0.306984124463852,-36.5,-76.5
"65",0.397268541906826,-35.5,-76.5
"66",0.304105913305845,-34.5,-76.5
"67",0.18915801387491,-33.5,-76.5
"68",0.222012934860094,-32.5,-76.5
"69",0.216938836084727,-31.5,-76.5
"70",1.2,164.5,-76.5
"71",1.2,165.5,-76.5
"72",1.2,166.5,-76.5
"73",1.2,167.5,-76.5
"74",1.2,168.5,-76.5
"75",1.2,169.5,-76.5
"76",1.2,170.5,-76.5
"77",1.2,171.5,-76.5
"78",1.2,172.5,-76.5
"79",1.2,173.5,-76.5
"80",1.2,174.5,-76.5
"81",1.2,175.5,-76.5
"82",1.2,176.5,-76.5
"83",1.2,177.5,-76.5
"84",1.2,178.5,-76.5
"85",1.2,179.5,-76.5
"86",1.2,-179.5,-75.5
"87",0.884709090180164,-178.5,-75.5
"88",0.10282544646023,-175.5,-75.5
"89",0.120503901462485,-174.5,-75.5
"90",0.169258621109811,-173.5,-75.5
"91",0.299720858954466,-172.5,-75.5
"92",0.148829021971749,-171.5,-75.5
"93",0.392444088656237,-170.5,-75.5
"94",0.199545361265566,-169.5,-75.5
"95",0.630652801768995,-168.5,-75.5
"96",0.419906525868153,-167.5,-75.5
"97",0.438531529419588,-166.5,-75.5
"98",1.2,-159.5,-75.5
"99",1.2,-158.5,-75.5
"100",1.2,-157.5,-75.5
"101",1.2,-156.5,-75.5
"102",1.2,-155.5,-75.5
"103",1.2,-154.5,-75.5
"104",1.2,-153.5,-75.5
"105",1.2,-152.5,-75.5
"106",1.2,-151.5,-75.5
"107",1.2,-150.5,-75.5
"108",1.2,-149.5,-75.5
"109",0.0995652147390843,-54.5,-75.5
"110",0.100058483548886,-53.5,-75.5
"111",0.133842420204937,-52.5,-75.5
"112",0.201112743815137,-51.5,-75.5
"113",0.0860382508080922,-50.5,-75.5
"114",0.135951182762764,-49.5,-75.5
"115",0.116575684942131,-48.5,-75.5
"116",0.087279976615298,-47.5,-75.5
"117",0.098827047270258,-46.5,-75.5
"118",0.105703153445438,-45.5,-75.5
"119",0.226816195977858,-44.5,-75.5
"120",0.142247131639806,-43.5,-75.5
"121",0.0933056028922124,-42.5,-75.5
"122",0.07838232585027,-41.5,-75.5
"123",0.146933945205026,-40.5,-75.5
"124",0.130165744714033,-39.5,-75.5
"125",0.10297572949169,-38.5,-75.5
"126",0.145582413657961,-37.5,-75.5
"127",0.143241214639007,-36.5,-75.5
"128",0.108553712238418,-35.5,-75.5
"129",0.102470771795601,-34.5,-75.5
"130",0.146031812911469,-33.5,-75.5
"131",0.146991305900445,-32.5,-75.5
"132",0.340881428646382,-31.5,-75.5
"133",0.835580372391893,-30.5,-75.5
"134",1.2,-29.5,-75.5
"135",1.2,-28.5,-75.5
"136",0.50041893034754,-27.5,-75.5
"137",0.761332522470572,164.5,-75.5
"138",1.2,165.5,-75.5
"139",1.2,166.5,-75.5
"140",1.2,167.5,-75.5
"141",1.2,168.5,-75.5
"142",1.2,169.5,-75.5
"143",1.2,170.5,-75.5
"144",1.2,171.5,-75.5
"145",1.2,172.5,-75.5
"146",0.377503739820425,173.5,-75.5
"147",0.759370409610968,174.5,-75.5
"148",1.2,175.5,-75.5
"149",1.2,176.5,-75.5
"150",1.2,177.5,-75.5
"151",1.2,178.5,-75.5
"152",1.2,179.5,-75.5
"153",0.0764948008145533,-179.5,-74.5
"154",0.0665689918785986,-177.5,-74.5
"155",0.0528579250559424,-176.5,-74.5
"156",0.0495146837642696,-175.5,-74.5
"157",0.0345623491150913,-174.5,-74.5
"158",1.2,-170.5,-74.5
"159",1.2,-169.5,-74.5
"160",1.2,-168.5,-74.5
"161",1.2,-167.5,-74.5
"162",1.2,-166.5,-74.5
"163",0.358328333184046,-165.5,-74.5
"164",1.2,-164.5,-74.5
"165",0.661807241130485,-163.5,-74.5
"166",0.477401310030262,-162.5,-74.5
"167",0.724722113805601,-161.5,-74.5
"168",0.764099815061752,-160.5,-74.5
"169",0.688542863380219,-159.5,-74.5
"170",0.287964729574127,-158.5,-74.5
"171",0.382873943799912,-157.5,-74.5
"172",0.252089284530307,-156.5,-74.5
"173",1.2,-151.5,-74.5
"174",1.2,-150.5,-74.5
"175",1.2,-148.5,-74.5
"176",1.2,-147.5,-74.5
"177",1.2,-145.5,-74.5
"178",1.2,-144.5,-74.5
"179",1.2,-143.5,-74.5
"180",0.018615730071833,-108.5,-74.5
"181",0.0388990332419336,-51.5,-74.5
"182",0.0851434451883233,-49.5,-74.5
"183",0.0370442920779802,-48.5,-74.5
"184",0.0481848009085546,-47.5,-74.5
"185",0.0941163227575622,-46.5,-74.5
"186",0.0458069317250092,-45.5,-74.5
"187",0.0603222914770069,-44.5,-74.5
"188",0.0456487322204594,-43.5,-74.5
"189",0.0652805139153283,-42.5,-74.5
"190",0.0339201943883837,-41.5,-74.5
"191",0.077656818546711,-40.5,-74.5
"192",0.0658146276870749,-39.5,-74.5
"193",0.0921187371675507,-38.5,-74.5
"194",0.0682051822749481,-37.5,-74.5
"195",0.0399113937900201,-36.5,-74.5
"196",0.0726656866210504,-35.5,-74.5
"197",0.103174374897808,-34.5,-74.5
"198",0.110547127864309,-33.5,-74.5
"199",0.0559952804671482,-32.5,-74.5
"200",0.052978536419414,-31.5,-74.5
"201",0.0609584860333894,-30.5,-74.5
"202",0.0882475856388552,-29.5,-74.5
"203",0.165262049950462,-28.5,-74.5
"204",0.181437168454116,-27.5,-74.5
"205",0.0778339508941571,-26.5,-74.5
"206",0.214494891171739,-25.5,-74.5
"207",1.2,166.5,-74.5
"208",1.2,167.5,-74.5
"209",1.2,168.5,-74.5
"210",1.2,169.5,-74.5
"211",1.2,170.5,-74.5
"212",1.2,171.5,-74.5
"213",1.2,172.5,-74.5
"214",0.319213686590007,173.5,-74.5
"215",0.1662701193045,174.5,-74.5
"216",0.0880133083562724,175.5,-74.5
"217",0.316272424882041,176.5,-74.5
"218",0.359631201752334,177.5,-74.5
"219",0.129213891091008,178.5,-74.5
"220",0.187057705709282,179.5,-74.5
"221",0.102775238586246,-177.5,-73.5
"222",0.13012123527603,-176.5,-73.5
"223",0.0969921366165696,-175.5,-73.5
"224",0.069618639318486,-174.5,-73.5
"225",0.0808352511806004,-173.5,-73.5
"226",0.453890064817503,-172.5,-73.5
"227",0.661682380050954,-171.5,-73.5
"228",0.890289096131059,-170.5,-73.5
"229",0.49430766178126,-169.5,-73.5
"230",0.318682451492335,-168.5,-73.5
"231",0.329114117197426,-167.5,-73.5
"232",0.056750599271195,-166.5,-73.5
"233",0.0765358371004042,-165.5,-73.5
"234",0.0902569793748799,-164.5,-73.5
"235",0.0752198769973125,-163.5,-73.5
"236",0.0566146350414459,-162.5,-73.5
"237",0.0711886563346617,-161.5,-73.5
"238",0.13030579470037,-160.5,-73.5
"239",0.0771402156508705,-159.5,-73.5
"240",0.101276047855498,-158.5,-73.5
"241",0.144172002026066,-157.5,-73.5
"242",0.127612237021934,-156.5,-73.5
"243",0.135866920892949,-155.5,-73.5
"244",0.384899786745911,-154.5,-73.5
"245",0.500509114782857,-153.5,-73.5
"246",0.213590865241297,-152.5,-73.5
"247",0.151557152302104,-151.5,-73.5
"248",0.43806087022227,-150.5,-73.5
"249",0.235598698803992,-149.5,-73.5
"250",0.175226792186505,-148.5,-73.5
"251",0.25827725399062,-146.5,-73.5
"252",0.55666494739802,-145.5,-73.5
"253",1.2,-144.5,-73.5
"254",0.176441836673503,-143.5,-73.5
"255",0.672332922045067,-142.5,-73.5
"256",1.2,-141.5,-73.5
"257",0.880213558648062,-140.5,-73.5
"258",0.479383906582567,-134.5,-73.5
"259",0.934411610411341,-133.5,-73.5
"260",0.262676246786049,-132.5,-73.5
