"","df71.Fz0","df71.Longitude","df71.Latitude"
"184",41.390727199896,-47.5,-74.5
"185",41.3146382851171,-46.5,-74.5
"186",41.3576278596375,-45.5,-74.5
"187",41.4404258857836,-44.5,-74.5
"188",41.3708644182891,-43.5,-74.5
"189",41.3609366022142,-42.5,-74.5
"190",41.3741742198328,-41.5,-74.5
"191",41.3774842861713,-40.5,-74.5
"192",41.3278610849034,-39.5,-74.5
"193",41.4072868024757,-38.5,-74.5
"194",41.4238530302214,-37.5,-74.5
"195",41.4304813769598,-36.5,-74.5
"196",41.4072868024757,-35.5,-74.5
"197",41.4304813769598,-34.5,-74.5
"198",41.3874160741669,-33.5,-74.5
"199",41.5001430851235,-32.5,-74.5
"200",39.9998095899393,-31.5,-74.5
"201",33.1494528733783,-30.5,-74.5
"202",64.3461721864653,-29.5,-74.5
"203",65.6745344279756,-28.5,-74.5
"204",65.8218102724592,-27.5,-74.5
"205",65.7481311129853,-26.5,-74.5
"206",65.8534123252759,-25.5,-74.5
"207",120,166.5,-74.5
"208",120,167.5,-74.5
"209",120,168.5,-74.5
"210",120,169.5,-74.5
"211",120,170.5,-74.5
"212",120,171.5,-74.5
"213",120,172.5,-74.5
"214",112.378940746998,173.5,-74.5
"215",78.0073123493668,174.5,-74.5
"216",61.109036959007,175.5,-74.5
"217",78.9466508238487,176.5,-74.5
"218",82.0563485434259,177.5,-74.5
"219",80.8108000157608,178.5,-74.5
"220",74.5048380417153,179.5,-74.5
"221",45.666838450467,-177.5,-73.5
"222",44.7825874851813,-176.5,-73.5
"223",41.3092459759544,-175.5,-73.5
"224",35.3337724269672,-174.5,-73.5
"225",51.191505466746,-173.5,-73.5
"226",120,-172.5,-73.5
"227",115.584167727054,-171.5,-73.5
"228",120,-170.5,-73.5
"229",101.338491458462,-169.5,-73.5
"230",84.2896170621539,-168.5,-73.5
"231",74.8630765885571,-167.5,-73.5
"232",41.435648900497,-166.5,-73.5
"233",36.4698750615656,-165.5,-73.5
"234",36.921048032324,-164.5,-73.5
"235",37.1557897999346,-163.5,-73.5
"236",35.3767744335959,-162.5,-73.5
"237",32.9536774446567,-161.5,-73.5
"238",32.3321749058411,-160.5,-73.5
"239",40.9118062609077,-159.5,-73.5
"240",41.1283918808304,-158.5,-73.5
"241",42.1792329516515,-157.5,-73.5
"242",44.5326920453744,-156.5,-73.5
"243",40.7398341548367,-155.5,-73.5
"244",75.3097654009043,-154.5,-73.5
"245",115.628061906101,-153.5,-73.5
"246",74.4797299411333,-152.5,-73.5
"247",50.9591576601101,-151.5,-73.5
"248",86.0788529892782,-150.5,-73.5
"249",78.3723134512993,-149.5,-73.5
"250",50.103048606436,-148.5,-73.5
"251",66.0875799898591,-146.5,-73.5
"252",120,-145.5,-73.5
"253",120,-144.5,-73.5
"254",92.0289132771763,-143.5,-73.5
"255",120,-142.5,-73.5
"256",120,-141.5,-73.5
"257",117.763921573958,-140.5,-73.5
"258",109.491887584836,-134.5,-73.5
"259",120,-133.5,-73.5
"260",117.294093284156,-132.5,-73.5
"261",120,-131.5,-73.5
"262",120,-129.5,-73.5
"263",99.4037881886083,-128.5,-73.5
"264",77.8922479733213,-127.5,-73.5
"265",120,-118.5,-73.5
"266",120,-117.5,-73.5
"267",120,-116.5,-73.5
"268",120,-115.5,-73.5
"269",120,-114.5,-73.5
"270",120,-113.5,-73.5
"271",120,-112.5,-73.5
"272",120,-111.5,-73.5
"273",120,-110.5,-73.5
"274",120,-109.5,-73.5
"275",120,-108.5,-73.5
"276",120,-107.5,-73.5
"277",29.0401074340831,-106.5,-73.5
"278",29.1192040489343,-105.5,-73.5
"279",29.3061624121262,-42.5,-73.5
"280",29.1845020055879,-41.5,-73.5
"281",29.2476086605715,-40.5,-73.5
"282",29.2031860651328,-39.5,-73.5
"283",29.2265579614969,-38.5,-73.5
"284",29.2288961796613,-37.5,-73.5
"285",29.3554381450046,-36.5,-73.5
"286",29.3319631857243,-35.5,-73.5
"287",29.458951363659,-34.5,-73.5
"288",29.4754529964486,-33.5,-73.5
"289",29.4754529964486,-32.5,-73.5
"290",29.3742316386939,-31.5,-73.5
"291",29.4118547288323,-30.5,-73.5
"292",29.3977404262661,-29.5,-73.5
"293",29.390685815151,-28.5,-73.5
"294",29.390685815151,-27.5,-73.5
"295",29.3742316386939,-26.5,-73.5
"296",29.3601353908774,-25.5,-73.5
"297",29.1331824565085,-24.5,-73.5
"298",29.0052780497471,-23.5,-73.5
"299",29.4990427935064,-22.5,-73.5
"300",29.3836328969394,-21.5,-73.5
"301",64.4168330677225,170.5,-73.5
"302",61.201127963315,171.5,-73.5
"303",54.0796853188064,172.5,-73.5
"304",55.5803809412987,173.5,-73.5
"305",61.8141098182899,174.5,-73.5
"306",65.1659891323803,175.5,-73.5
"307",52.0013781694155,176.5,-73.5
"308",44.3338944190378,178.5,-73.5
"309",41.5273321587177,179.5,-73.5
"310",41.9029275358988,-179.5,-72.5
"311",43.3045960323206,-178.5,-72.5
"312",39.6636889321325,-176.5,-72.5
"313",37.0403456909136,-175.5,-72.5
"314",35.4749630394678,-174.5,-72.5
"315",36.1118951625679,-173.5,-72.5
"316",53.0751060478112,-172.5,-72.5
"317",32.0155497251374,-169.5,-72.5
"318",31.2930214466338,-168.5,-72.5
"319",32.2319589850401,-167.5,-72.5
"320",29.6683220471661,-166.5,-72.5
"321",30.5694113175652,-165.5,-72.5
"322",30.3695322992942,-164.5,-72.5
"323",30.9062948149293,-163.5,-72.5
"324",30.2144376749693,-162.5,-72.5
"325",91.030888439882,-161.5,-72.5
"326",91.1256098104346,-160.5,-72.5
"327",91.9678337101518,-159.5,-72.5
"328",92.2404617884349,-158.5,-72.5
"329",92.0488010242098,-157.5,-72.5
"330",94.820691546288,-156.5,-72.5
"331",83.8668360690529,-155.5,-72.5
"332",71.7726263084572,-154.5,-72.5
"333",59.7553352600712,-153.5,-72.5
"334",48.3048859531594,-152.5,-72.5
"335",47.681615167293,-151.5,-72.5
"336",37.7999016221198,-150.5,-72.5
"337",37.4807137257865,-149.5,-72.5
"338",37.576787274598,-147.5,-72.5
"339",37.5497417253264,-146.5,-72.5
"340",38.0212988983995,-145.5,-72.5
"341",38.6902062693326,-144.5,-72.5
"342",39.8518860982912,-143.5,-72.5
"343",40.2298691762384,-142.5,-72.5
"344",39.4900891986205,-141.5,-72.5
"345",39.4364191811945,-140.5,-72.5
"346",40.6244350487448,-139.5,-72.5
"347",40.1944824638004,-138.5,-72.5
"348",59.0331041012951,-137.5,-72.5
"349",81.2402401068904,-136.5,-72.5
"350",120,-134.5,-72.5
"351",76.8937470057017,-128.5,-72.5
"352",76.7953859740242,-127.5,-72.5
"353",76.7155602891623,-126.5,-72.5
"354",76.8322566075359,-125.5,-72.5
"355",77.0602075880307,-124.5,-72.5
"356",120,-123.5,-72.5
"357",120,-122.5,-72.5
"358",120,-121.5,-72.5
"359",120,-120.5,-72.5
"360",120,-119.5,-72.5
"361",120,-118.5,-72.5
