"","Temperature.X100","Temperature.Longitude","Temperature.Latitude"
"180",-1.822,-144.5,-74.5
"181",-1.82,-143.5,-74.5
"182",-1.359,-108.5,-74.5
"185",-1.893,-51.5,-74.5
"187",-1.882,-49.5,-74.5
"188",-1.881,-48.5,-74.5
"189",-1.852,-47.5,-74.5
"190",-1.829,-46.5,-74.5
"191",-1.842,-45.5,-74.5
"192",-1.867,-44.5,-74.5
"193",-1.846,-43.5,-74.5
"194",-1.843,-42.5,-74.5
"195",-1.847,-41.5,-74.5
"196",-1.848,-40.5,-74.5
"197",-1.833,-39.5,-74.5
"198",-1.857,-38.5,-74.5
"199",-1.862,-37.5,-74.5
"200",-1.864,-36.5,-74.5
"201",-1.857,-35.5,-74.5
"202",-1.864,-34.5,-74.5
"203",-1.851,-33.5,-74.5
"204",-1.885,-32.5,-74.5
"205",-1.887,-31.5,-74.5
"206",-1.907,-30.5,-74.5
"207",-1.888,-29.5,-74.5
"208",-1.865,-28.5,-74.5
"209",-1.893,-27.5,-74.5
"210",-1.879,-26.5,-74.5
"211",-1.899,-25.5,-74.5
"212",-1.755,166.5,-74.5
"213",-1.814,167.5,-74.5
"214",-1.709,168.5,-74.5
"215",-1.696,169.5,-74.5
"216",-1.72,170.5,-74.5
"217",-1.801,171.5,-74.5
"218",-1.632,172.5,-74.5
"219",-1.484,173.5,-74.5
"220",-1.52,174.5,-74.5
"221",-1.568,175.5,-74.5
"222",-1.667,176.5,-74.5
"223",-1.593,177.5,-74.5
"224",-1.743,178.5,-74.5
"225",-1.594,179.5,-74.5
"226",-1.44,-177.5,-73.5
"227",-1.455,-176.5,-73.5
"228",-0.913,-175.5,-73.5
"229",-1.156,-174.5,-73.5
"230",-1.529,-173.5,-73.5
"231",-1.549,-172.5,-73.5
"232",-1.639,-171.5,-73.5
"233",-1.71,-170.5,-73.5
"234",-1.744,-169.5,-73.5
"235",-1.417,-168.5,-73.5
"236",-1.441,-167.5,-73.5
"237",-1.329,-166.5,-73.5
"238",-1.16,-165.5,-73.5
"239",-1.367,-164.5,-73.5
"240",-1.27,-163.5,-73.5
"241",-1.265,-162.5,-73.5
"242",-1.207,-161.5,-73.5
"243",-0.969,-160.5,-73.5
"244",-1.154,-159.5,-73.5
"245",-1.22,-158.5,-73.5
"246",-1.295,-157.5,-73.5
"247",-1.403,-156.5,-73.5
"248",-1.51,-155.5,-73.5
"249",-1.389,-154.5,-73.5
"250",-1.671,-153.5,-73.5
"251",-1.565,-152.5,-73.5
"252",-1.059,-151.5,-73.5
"253",-1.014,-150.5,-73.5
"254",-1.315,-149.5,-73.5
"255",-1.496,-148.5,-73.5
"256",-1.353,-146.5,-73.5
"257",-1.182,-145.5,-73.5
"258",-0.759,-144.5,-73.5
"259",-1.624,-143.5,-73.5
"260",-1.74,-142.5,-73.5
"261",-0.873,-141.5,-73.5
"262",-0.333,-140.5,-73.5
"263",-1.712,-134.5,-73.5
"264",-1.741,-133.5,-73.5
"265",-1.687,-132.5,-73.5
"266",-1.649,-131.5,-73.5
"267",-1.701,-129.5,-73.5
"268",-1.707,-128.5,-73.5
"269",-1.73,-127.5,-73.5
"270",-1.686,-118.5,-73.5
"271",-1.675,-117.5,-73.5
"272",-1.625,-116.5,-73.5
"273",-1.665,-115.5,-73.5
"274",-1.708,-114.5,-73.5
"275",-1.695,-113.5,-73.5
"276",-1.747,-112.5,-73.5
"277",-1.747,-111.5,-73.5
"278",-1.759,-110.5,-73.5
"279",-1.704,-109.5,-73.5
"280",-1.662,-108.5,-73.5
"281",-1.71,-107.5,-73.5
"282",-1.744,-106.5,-73.5
"283",-1.778,-105.5,-73.5
"285",-1.859,-42.5,-73.5
"286",-1.807,-41.5,-73.5
"287",-1.834,-40.5,-73.5
"288",-1.815,-39.5,-73.5
"289",-1.825,-38.5,-73.5
"290",-1.826,-37.5,-73.5
"291",-1.88,-36.5,-73.5
"292",-1.87,-35.5,-73.5
"293",-1.924,-34.5,-73.5
"294",-1.931,-33.5,-73.5
"295",-1.931,-32.5,-73.5
"296",-1.888,-31.5,-73.5
"297",-1.904,-30.5,-73.5
"298",-1.898,-29.5,-73.5
"299",-1.895,-28.5,-73.5
"300",-1.895,-27.5,-73.5
"301",-1.888,-26.5,-73.5
"302",-1.882,-25.5,-73.5
"303",-1.785,-24.5,-73.5
"304",-1.73,-23.5,-73.5
"305",-1.941,-22.5,-73.5
"306",-1.892,-21.5,-73.5
"307",-1.773,170.5,-73.5
"308",-1.26,171.5,-73.5
"309",-0.833,172.5,-73.5
"310",-1.375,173.5,-73.5
"311",-1.546,174.5,-73.5
"312",-1.483,175.5,-73.5
"313",-1.235,176.5,-73.5
"314",-1.537,178.5,-73.5
"315",-1.448,179.5,-73.5
"316",-1.437,-179.5,-72.5
"317",-1.355,-178.5,-72.5
"318",-1.402,-176.5,-72.5
"319",-1.094,-175.5,-72.5
"320",-1.316,-174.5,-72.5
"321",-0.945,-173.5,-72.5
"322",-0.985,-172.5,-72.5
"323",-1.395,-169.5,-72.5
"324",-0.846,-168.5,-72.5
"325",-0.94,-167.5,-72.5
"326",-0.845,-166.5,-72.5
"327",-1.219,-165.5,-72.5
"328",-1.137,-164.5,-72.5
"329",-1.356,-163.5,-72.5
"330",-1.073,-162.5,-72.5
"331",-1.151,-161.5,-72.5
"332",-1.164,-160.5,-72.5
"333",-1.279,-159.5,-72.5
"334",-1.316,-158.5,-72.5
"335",-1.29,-157.5,-72.5
"336",-1.019,-156.5,-72.5
"337",-1.211,-155.5,-72.5
"338",-1.392,-154.5,-72.5
"339",-1.506,-153.5,-72.5
"340",-1.559,-152.5,-72.5
"341",-1.295,-151.5,-72.5
"342",-1.098,-150.5,-72.5
"343",-0.992,-149.5,-72.5
"344",-1.024,-147.5,-72.5
"345",-1.015,-146.5,-72.5
"346",-1.171,-145.5,-72.5
"347",-1.389,-144.5,-72.5
"348",-0.959,-143.5,-72.5
"349",-1.077,-142.5,-72.5
"350",-0.845,-141.5,-72.5
"351",-0.828,-140.5,-72.5
"352",-1.199,-139.5,-72.5
"353",-1.066,-138.5,-72.5
"354",-1.218,-137.5,-72.5
"355",-1.604,-136.5,-72.5
"356",-1.685,-134.5,-72.5
"357",-1.698,-128.5,-72.5
"358",-1.682,-127.5,-72.5
"359",-1.669,-126.5,-72.5
"360",-1.688,-125.5,-72.5
"361",-1.766,-124.5,-72.5
"362",-1.75,-123.5,-72.5
"363",-1.781,-122.5,-72.5
"364",-1.638,-121.5,-72.5
"365",-1.802,-120.5,-72.5
"366",-1.719,-119.5,-72.5
"367",-1.747,-118.5,-72.5
"368",-1.659,-117.5,-72.5
"369",-1.671,-116.5,-72.5
"370",-1.562,-115.5,-72.5
"371",-1.687,-114.5,-72.5
"372",-1.705,-113.5,-72.5
"373",-1.731,-112.5,-72.5
"374",-1.755,-111.5,-72.5
"375",-1.783,-110.5,-72.5
"376",-1.757,-109.5,-72.5
"377",-1.735,-108.5,-72.5
"378",-1.743,-107.5,-72.5
"379",-1.755,-106.5,-72.5
"380",-1.773,-105.5,-72.5
"381",-1.794,-104.5,-72.5
"382",-1.464,-85.5,-72.5
"383",-1.372,-84.5,-72.5
"384",-1.212,-83.5,-72.5
"385",-1.397,-82.5,-72.5
"386",-1.353,-81.5,-72.5
"387",-1.389,-80.5,-72.5
"389",-1.858,-43.5,-72.5
"390",-1.863,-42.5,-72.5
"391",-1.865,-41.5,-72.5
"392",-1.818,-40.5,-72.5
"393",-1.819,-39.5,-72.5
"394",-1.819,-38.5,-72.5
"395",-1.792,-37.5,-72.5
"396",-1.717,-36.5,-72.5
"397",-1.744,-35.5,-72.5
"398",-1.822,-34.5,-72.5
"399",-1.86,-33.5,-72.5
"400",-1.87,-32.5,-72.5
"401",-1.855,-31.5,-72.5
"402",-1.929,-30.5,-72.5
"403",-1.855,-29.5,-72.5
"404",-1.835,-28.5,-72.5
"405",-1.765,-27.5,-72.5
"406",-1.913,-26.5,-72.5
"407",-1.957,-25.5,-72.5
"408",-1.706,-24.5,-72.5
"409",-1.643,-23.5,-72.5
"410",-1.813,-22.5,-72.5
"411",-1.781,-21.5,-72.5
"412",-1.793,-20.5,-72.5
"413",-1.866,-19.5,-72.5
"414",-1.86,171.5,-72.5
"415",-1.157,173.5,-72.5
"416",-0.991,174.5,-72.5
"417",-1.04,175.5,-72.5
"418",-0.699,176.5,-72.5
"419",-1.264,177.5,-72.5
"420",-1.328,178.5,-72.5
"421",-1.181,179.5,-72.5
"422",-0.251,-179.5,-71.5
"423",-0.648,-178.5,-71.5
"424",-0.44,-176.5,-71.5
"425",-1.588,-175.5,-71.5
"426",-1.452,-174.5,-71.5
"427",-1.792,-171.5,-71.5
"428",-1.61,-170.5,-71.5
"429",-0.934,-169.5,-71.5
"430",-0.579,-168.5,-71.5
"431",-1.306,-164.5,-71.5
"432",-1.207,-163.5,-71.5
"433",-1.215,-162.5,-71.5
"434",-1.214,-161.5,-71.5
"435",-1.392,-160.5,-71.5
"436",-1.651,-158.5,-71.5
"437",-1.268,-157.5,-71.5
"438",-1.479,-156.5,-71.5
"439",-1.597,-155.5,-71.5
"440",-1.739,-154.5,-71.5
"441",-1.774,-153.5,-71.5
"442",-1.778,-152.5,-71.5
"443",-1.487,-151.5,-71.5
"444",-1.132,-150.5,-71.5
"445",-1.178,-148.5,-71.5
"446",-1.399,-147.5,-71.5
"447",-1.396,-139.5,-71.5
"448",-1.246,-138.5,-71.5
"449",-1.298,-137.5,-71.5
"451",-0.241,-134.5,-71.5
"452",-0.591,-133.5,-71.5
"453",-1.671,-132.5,-71.5
"454",-1.413,-131.5,-71.5
"455",-1.445,-130.5,-71.5
"456",-1.645,-126.5,-71.5
"457",-1.744,-125.5,-71.5
"458",-1.811,-124.5,-71.5
"459",-1.826,-123.5,-71.5
"460",-1.76,-122.5,-71.5
"461",-1.553,-121.5,-71.5
"462",-1.746,-119.5,-71.5
"463",-1.667,-118.5,-71.5
"464",-1.657,-117.5,-71.5
"465",-1.679,-116.5,-71.5
"466",-1.701,-115.5,-71.5
"467",-1.702,-114.5,-71.5
"468",-1.737,-113.5,-71.5
"469",-1.741,-112.5,-71.5
"470",-1.67,-111.5,-71.5
"471",-1.717,-110.5,-71.5
"472",-1.758,-109.5,-71.5
"473",-1.755,-108.5,-71.5
"474",-1.789,-107.5,-71.5
"475",-1.795,-106.5,-71.5
"476",-1.802,-105.5,-71.5
"477",-1.819,-104.5,-71.5
"478",-1.794,-103.5,-71.5
"479",-1.786,-102.5,-71.5
"480",-1.709,-101.5,-71.5
"481",-1.736,-99.5,-71.5
"482",-1.712,-95.5,-71.5
"483",-1.615,-94.5,-71.5
"484",-1.633,-93.5,-71.5
"485",-1.699,-92.5,-71.5
"486",-1.715,-91.5,-71.5
"487",-1.699,-90.5,-71.5
"488",-1.581,-89.5,-71.5
"489",-1.44,-88.5,-71.5
"490",-1.507,-87.5,-71.5
"491",-1.366,-86.5,-71.5
"492",-1.466,-85.5,-71.5
"493",-1.177,-84.5,-71.5
"494",-1.076,-83.5,-71.5
"495",-1.037,-82.5,-71.5
"496",-0.965,-81.5,-71.5
"497",-1.202,-80.5,-71.5
"498",-1.204,-79.5,-71.5
"499",-1.393,-78.5,-71.5
"500",-1.254,-77.5,-71.5
"501",-0.904,-76.5,-71.5
"502",-1.878,-43.5,-71.5
"503",-1.839,-42.5,-71.5
"504",-1.796,-41.5,-71.5
